,asin,category,price_weighted_normalized,leak_weighted_normalized,absorb_weighted_normalized,comfort_weighted_normalized,material_weighted_normalized,package_weighted_normalized,size_weighted_normalized
38,B009P5I3R8,Protège-slips,0.0468247978660474,0.070897305368159,0.0808284735057941,0.0777391870049476,0.3543356740174836,0.2133989145233244,0.0
39,B00B0FS74U,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.0893181654725406,0.3543356740174836,0.1339491386801084,0.0
40,B00B3S2QHS,Protège-slips,0.537785144072334,0.1021822951848384,0.5222032581812474,0.4539699906858182,0.596286390014825,0.2332548197176784,0.1866330381801817
41,B00B6RTB7O,Tampons,0.0416587432234052,0.070897305368159,0.0269236580331692,0.1252841061104304,0.3543356740174836,0.0796936158292756,0.0222419332051098
42,B00BL1137Q,Coupes menstruelles,0.0775990037767298,0.6351756397778883,0.0567010421691735,0.3003773663762978,0.8198285009430478,0.11662347084616,0.2002484954012661
43,B00BN7Y0T6,Protège-slips,0.0965832830180341,0.070897305368159,0.1195794068047427,0.0879031990062131,0.3543356740174836,0.0796936158292756,0.0128916450869454
44,B00BNSX67C,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
45,B00BSXSQP4,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
46,B00BSYD6JY,Serviettes hygièniques,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
47,B00BVZSZMS,Tampons,0.0,0.1051045096325125,0.0269236580331692,0.1058266939103152,0.3543356740174836,0.0796936158292756,0.0156973642752687
48,B00C4UE9TC,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
49,B00CE6GXNG,Tampons,0.162029550314886,0.070897305368159,0.1098253436440224,0.1234565113848395,0.3543356740174836,0.0796936158292756,0.0
50,B00CE6R2B8,Serviettes hygièniques,0.0,0.070897305368159,0.0908587984279267,0.1032361087789915,0.4792683624728707,0.0796936158292756,0.0
51,B00CP4FKVS,Protège-slips,0.0430260323867075,0.070897305368159,0.0269236580331692,0.0762317023745784,0.3543356740174836,0.0796936158292756,0.0
52,B00CSBLPBW,Protège-slips,0.1356775500660152,0.070897305368159,0.0269236580331692,0.1129991047429422,0.3543356740174836,0.0796936158292756,0.0
53,B00DBWR7RS,Visage,0.058611598488979,0.070897305368159,0.0269236580331692,0.0707870281246243,0.3543356740174836,0.0796936158292756,0.0
54,B00DBWRE2G,Serviettes hygièniques,0.0275709973562555,0.0869363942316872,0.1644627733738524,0.0919808930187936,0.3543356740174836,0.0796936158292756,0.0
55,B00DBWRIZY,Tampons,0.2655938860657957,0.070897305368159,0.0880741170698121,0.1013162722052798,0.4140813099898044,0.2313709811831134,0.0709013404686923
56,B00DBWRMP0,Tampons,0.5225144305089415,0.0877843247142072,0.4056583591710519,0.3010683782484937,0.8114364293709804,0.6599187414383479,0.0619943546745009
57,B00DPXXM5E,Tampons,0.2091472308203669,0.1438986040301593,0.0911291981046743,0.1504541776880199,0.4013835729819841,0.1394143070917724,0.0111665364290844
58,B00DZ00ET4,Protège-slips,0.2533974689626434,0.1323184984122033,0.5293161191897653,0.2267525940450783,0.686847565664196,0.3208805212014322,0.011274243097834
59,B00E4KZQC4,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.0908768743549417,0.3543356740174836,0.0226341620182852,0.0
60,B00ET7PFFA,Protège-slips,0.1987640182025932,0.070897305368159,0.2557412549496355,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
61,B00F2GZSUY,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0325341065554042
62,B00F2LNMPW,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
63,B00FV2PU2A,Tampons,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
64,B00GA7T43G,Serviettes hygièniques,0.0,0.0907296843486278,0.0269236580331692,0.0862149703151567,0.3543356740174836,0.0796936158292756,0.0
65,B00GESJOMM,Serviettes hygièniques,0.0646231249945835,0.089694159740782,0.126116045738012,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
66,B00GESKXLS,Serviettes hygièniques,0.0801817961990764,0.0942196926190959,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
67,B00GEUDZYI,Serviettes hygièniques,0.0323958112561785,0.070897305368159,0.0269236580331692,0.0784411566966377,0.3543356740174836,0.0796936158292756,0.0
68,B00GEUGOAA,Serviettes hygièniques,0.0,0.070897305368159,0.1425009827433001,0.0989985563187322,0.3543356740174836,0.0796936158292756,0.0
69,B00GEUIP34,Protège-slips,0.0,0.070897305368159,0.0836585300101736,0.078714746734061,0.3543356740174836,0.0093311358027337,0.0
70,B00GY338Z6,Serviettes hygièniques,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
71,B00HI1B7J2,Serviettes hygièniques,0.0717237587861909,0.1126217205546474,0.1094922148357624,0.0876199761990736,0.4350073650432466,0.0796936158292756,0.0
72,B00I83ZD2Q,Protège-slips,0.0,0.1319862639611149,0.0672200258795834,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
73,B00I98F68G,Protège-slips,0.4034793116102304,0.070897305368159,0.1536017441050584,0.1537707848574648,0.3955916347813333,0.1320622560819383,0.0097918546614379
74,B00J4X3PQK,Serviettes hygièniques,0.037424451757342,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
75,B00J5RI038,Serviettes hygièniques,0.0651524585774591,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.1262033143851092,0.0173927070249969
76,B00J9FQYVG,Serviettes hygièniques,0.0290474209891821,0.070897305368159,0.1160955464191375,0.0706844944855208,0.3543356740174836,0.1211651680478332,0.0
77,B00J9FVKVK,Protège-slips,0.0440621899038007,0.070897305368159,0.0269236580331692,0.0766428863605745,0.3543356740174836,0.0796936158292756,0.0
78,B00J9G2V2Q,Serviettes hygièniques,0.0,0.0897764745927947,0.1016437349733918,0.0849144963344005,0.3543356740174836,0.0796936158292756,0.0086634731749291
79,B00KDQDCEW,Tampons,0.0,0.1465566940481005,0.0269236580331692,0.059157449467552,0.5006186308787427,0.0796936158292756,0.0925850181168461
80,B00KH7CLA8,Protège-slips,0.0,0.1086222112421588,0.101577575160773,0.1106259307911953,0.3543356740174836,0.0796936158292756,0.0346232089110829
81,B00KQW4WNS,Serviettes hygièniques,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
82,B00LN3RDDA,Protège-slips,0.142209875012338,0.1122617288803287,0.0678517421909205,0.059157449467552,0.5142870108124047,0.1812114796658817,0.0474543621636781
83,B00LWE6C0A,Tampons,0.2737334856997967,0.7078616698170551,0.0269236580331692,0.5615579633944225,0.4313064838143019,0.323952661890428,0.1096113582739357
84,B00M0RZH3G,Tampons,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
85,B00M0S8OPS,Tampons,0.0,0.070897305368159,0.0269236580331692,0.118314898935104,0.3543356740174836,0.0796936158292756,0.0
86,B00NAA925Q,Tampons,0.0731698079518428,0.092180123626466,0.2234679125658726,0.1535256527316627,0.3543356740174836,0.1841595342468446,0.0
87,B00NB3SMOY,Tampons,0.0,0.0806557493660095,0.0269236580331692,0.1323819558137795,0.3920704235912409,0.1275925736735436,0.0089561163204264
88,B00NJNJ6O6,Protège-slips,0.0226610240582921,0.0840800776093319,0.0269236580331692,0.0681501460849381,0.3543356740174836,0.0796936158292756,0.0
89,B00OPX2RMW,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
90,B00PBI86O8,Tampons,0.0,0.1430997449347171,0.0904265917044597,0.1248284754782326,0.3543356740174836,0.0796936158292756,0.0220886802417507
91,B00POBIWAA,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
